Mod:Item:MetaData, Localized Name
ic2:crafting:37, Крепёж для реактивного ранца
ic2:crafting:38, Промышленная монета
ic2:crafting:41, Бронзовая лопасть ротора
ic2:crafting:42, Бронзовый стержень
ic2:block_cutting_blade:0, Железный режущий диск
ic2:block_cutting_blade:1, Стальной режущий диск
ic2:block_cutting_blade:2, Алмазный режущий диск
ic2:upgrade_kit:0, Набор улучшения МФСУ
ic2:crop_stick, ic2.crop_stick.name
ic2:crop_res:0, Кофейные зёрна
ic2:crop_res:1, Молотый кофе
ic2:crop_res:2, Удобрение
ic2:crop_res:3, Токсичная пыль
ic2:crop_res:4, Хмель
ic2:crop_res:5, Сорняк
ic2:crop_res:6, Milk Wart
ic2:crop_res:7, Oil Berry
ic2:crop_res:8, Bobs-Yer-Uncle-Ranks Berry
ic2:terra_wart, ic2.terra_wart.name
ic2:cropnalyzer, ic2.cropnalyzer.name
ic2:re_battery, ic2.re_battery.name
ic2:advanced_re_battery, ic2.advanced_re_battery.name
ic2:energy_crystal, ic2.energy_crystal.name
ic2:lapotron_crystal, ic2.lapotron_crystal.name
ic2:single_use_battery, ic2.single_use_battery.name
ic2:charging_re_battery, ic2.charging_re_battery.name
ic2:advanced_charging_re_battery, ic2.advanced_charging_re_battery.name
ic2:charging_energy_crystal, ic2.charging_energy_crystal.name
ic2:charging_lapotron_crystal, ic2.charging_lapotron_crystal.name
ic2:heat_storage, ic2.heat_storage.name
ic2:tri_heat_storage, ic2.tri_heat_storage.name
ic2:hex_heat_storage, ic2.hex_heat_storage.name
ic2:plating, ic2.plating.name
ic2:heat_plating, ic2.heat_plating.name
ic2:containment_plating, ic2.containment_plating.name
ic2:heat_exchanger, ic2.heat_exchanger.name
ic2:reactor_heat_exchanger, ic2.reactor_heat_exchanger.name
ic2:component_heat_exchanger, ic2.component_heat_exchanger.name
ic2:advanced_heat_exchanger, ic2.advanced_heat_exchanger.name
ic2:heat_vent, ic2.heat_vent.name
ic2:reactor_heat_vent, ic2.reactor_heat_vent.name
ic2:overclocked_heat_vent, ic2.overclocked_heat_vent.name
ic2:component_heat_vent, ic2.component_heat_vent.name
ic2:advanced_heat_vent, ic2.advanced_heat_vent.name
ic2:neutron_reflector, ic2.neutron_reflector.name
ic2:thick_neutron_reflector, ic2.thick_neutron_reflector.name
ic2:iridium_reflector, ic2.iridium_reflector.name
ic2:rsh_condensator, ic2.rsh_condensator.name
ic2:lzh_condensator, ic2.lzh_condensator.name
ic2:heatpack, ic2.heatpack.name
ic2:uranium_fuel_rod, ic2.uranium_fuel_rod.name
ic2:dual_uranium_fuel_rod, ic2.dual_uranium_fuel_rod.name
ic2:quad_uranium_fuel_rod, ic2.quad_uranium_fuel_rod.name
ic2:mox_fuel_rod, ic2.mox_fuel_rod.name
ic2:dual_mox_fuel_rod, ic2.dual_mox_fuel_rod.name
ic2:quad_mox_fuel_rod, ic2.quad_mox_fuel_rod.name
ic2:lithium_fuel_rod, ic2.lithium_fuel_rod.name
ic2:depleted_isotope_fuel_rod, ic2.depleted_isotope_fuel_rod.name
ic2:tfbp:0, Террачип
ic2:tfbp:1, Террачип "Охлаждение"
ic2:tfbp:2, Террачип "Озеленение"
ic2:tfbp:3, Террачип "Опустынивание"
ic2:tfbp:4, Террачип "Выравнивание"
ic2:tfbp:5, Террачип "Орошение"
ic2:tfbp:6, Террачип "Грибы"
ic2:bronze_axe, ic2.bronze_axe.name
ic2:bronze_hoe, ic2.bronze_hoe.name
ic2:bronze_pickaxe, ic2.bronze_pickaxe.name
ic2:bronze_shovel, ic2.bronze_shovel.name
ic2:bronze_sword, ic2.bronze_sword.name
ic2:cutter, ic2.cutter.name
ic2:debug_item, ic2.debug_item.name
ic2:foam_sprayer:0, Распылитель строительной пены
ic2:foam_sprayer:0, Распылитель строительной пены
ic2:forge_hammer, ic2.forge_hammer.name
ic2:frequency_transmitter, ic2.frequency_transmitter.name
ic2:meter, ic2.meter.name
ic2:tool_box, ic2.tool_box.name
ic2:treetap, ic2.treetap.name
ic2:wrench, ic2.wrench.name
ic2:wrench_new, ic2.wrench_new.name
ic2:crowbar, ic2.crowbar.name
ic2:containment_box, ic2.containment_box.name
ic2:weeding_trowel, ic2.weeding_trowel.name
ic2:crop_seed_bag, ic2.crop_seed_bag.name
ic2:advanced_scanner, ic2.advanced_scanner.name
ic2:chainsaw, ic2.chainsaw.name
ic2:diamond_drill, ic2.diamond_drill.name
ic2:drill, ic2.drill.name
ic2:electric_hoe, ic2.electric_hoe.name
ic2:electric_treetap, ic2.electric_treetap.name
ic2:electric_wrench, ic2.electric_wrench.name
ic2:iridium_drill, ic2.iridium_drill.name
ic2:mining_laser, ic2.mining_laser.name
ic2:nano_saber, ic2.nano_saber.name
ic2:obscurator, ic2.obscurator.name
ic2:scanner, ic2.scanner.name
ic2:wind_meter, ic2.wind_meter.name
ic2:painter:0, Валик
ic2:painter:0, Чёрный валик
ic2:painter:0, Синий валик
ic2:painter:0, Коричневый валик
ic2:painter:0, Бирюзовый валик
ic2:painter:0, Тёмно-серый валик
ic2:painter:0, Зелёный валик
ic2:painter:0, Голубой валик
ic2:painter:0, Светло-серый валик
ic2:painter:0, Лаймовый валик
ic2:painter:0, Сиреневый валик
ic2:painter:0, Оранжевый валик
ic2:painter:0, Розовый валик
ic2:painter:0, Фиолетовый валик
ic2:painter:0, Красный валик
ic2:painter:0, Белый валик
ic2:painter:0, Жёлтый валик
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:cable:0, Медный провод
ic2:cable:0, Изолированный медный провод
ic2:cable:1, Стекловолоконный провод
ic2:cable:2, Золотой провод
ic2:cable:2, Изолированный золотой провод
ic2:cable:2, Золотой провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод
ic2:cable:3, Изолированный высоковольтный провод
ic2:cable:3, Высоковольтный провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод с тройной изоляцией
ic2:cable:4, Оловянный провод
ic2:cable:4, Изолированный оловянный провод
ic2:cable:5, Провод-детектор
ic2:cable:6, Провод-разъединитель
ic2:upgrade:0, Улучшение "Ускоритель"
ic2:upgrade:1, Улучшение "Трансформатор"
ic2:upgrade:2, Улучшение "Энергохранитель"
ic2:upgrade:3, Улучшение "Инвертор сигнала красного камня"
ic2:upgrade:4, Улучшение "Выталкиватель"
ic2:upgrade:5, Улучшение "Улучшенный выталкиватель"
ic2:upgrade:6, Улучшение "Затягиватель"
ic2:upgrade:7, Улучшение "Улучшенный затягиватель"
ic2:upgrade:8, Улучшение "Выталкиватель жидкостей"
ic2:upgrade:9, Улучшение "Затягиватель жидкостей"
ic2:upgrade:10, Remote Interface Upgrade
ic2:filled_tin_can, ic2.filled_tin_can.name
ic2:filled_fuel_can, ic2.filled_fuel_can.name
ic2:iodine_tablet, ic2.iodine_tablet.name
ic2:crystal_memory, ic2.crystal_memory.name
ic2:rotor_wood, ic2.rotor_wood.name
ic2:rotor_bronze, ic2.rotor_bronze.name
ic2:rotor_iron, ic2.rotor_iron.name
ic2:rotor_steel, ic2.rotor_steel.name
ic2:rotor_carbon, ic2.rotor_carbon.name
ic2:dynamite, ic2.dynamite.name
ic2:dynamite_sticky, ic2.dynamite_sticky.name
ic2:remote, ic2.remote.name
ic2:pipe:0, Тонкая бронзовая труба
ic2:pipe:0, Малая бронзовая труба
ic2:pipe:0, Средняя бронзовая труба
ic2:pipe:0, Большая бронзовая труба
ic2:pipe:1, Тонкая стальная труба
ic2:pipe:1, Малая стальная труба
ic2:pipe:1, Средняя стальная труба
ic2:pipe:1, Большая стальная труба
ic2:cover:0, Накладной насос низкого напряжения
ic2:cover:1, Накладной насос среднего напряжения
ic2:coke, ic2.coke.name
emt:solar_compressed, Compressed Solar Panel
emt:solar_doublecompressed, Double Compressed Solar Panel
emt:solar_triplecompressed, Triple Compressed Solar Panel
emt:solar_aircompressed, Air Infused Compressed Solar Panel
emt:solar_airdoublecompressed, Air Infused Double Compressed Solar Panel
emt:solar_airtriplecompressed, Air Infused Triple Compressed Solar Panel
emt:solar_firecompressed, Fire Infused Compressed Solar Panel
emt:solar_firedoublecompressed, Fire Infused Double Compressed Solar Panel
emt:solar_firetriplecompressed, Fire Infused Triple Compressed Solar Panel
emt:solar_earthcompressed, Earth Infused Compressed Solar Panel
emt:solar_earthdoublecompressed, Earth Infused Double Compressed Solar Panel
emt:solar_earthtriplecompressed, Earth Infused Triple Compressed Solar Panel
emt:solar_watercompressed, Water Infused Compressed Solar Panel
emt:solar_waterdoublecompressed, Water Infused Double Compressed Solar Panel
emt:solar_watertriplecompressed, Water Infused Triple Compressed Solar Panel
emt:solar_darkcompressed, Entropy Infused Compressed Solar Panel
emt:solar_darkdoublecompressed, Entropy Double Infused Compressed Solar Panel
emt:solar_darktriplecompressed, Entropy Triple Infused Compressed Solar Panel
emt:solar_ordercompressed, Order Infused Compressed Solar Panel
emt:solar_orderdoublecompressed, Order Infused Double Compressed Solar Panel
emt:solar_ordertriplecompressed, Order Infused Triple Compressed Solar Panel
emt:aer_generator, Aer Generator
emt:auram_generator, Auram Generator
emt:energy_generator, Potentia Generator
emt:fire_generator, Ignis Generator
emt:ironomnitool, Железный мультиинструмент
emt:diamondomnitool, Diamond Omnitool
emt:thaumiumomnitool, Thaumium Omnitool
emt:thaumiumdrill, Thaumium Drill
emt:featherwing, Feather Duct-Taped Wings
emt:thaumiumchainsaw, Thaumium Chainsaw
emt:diamondchainsaw, Diamond Chainsaw
emt:streamchainsaw, Chainsaw of the Stream
emt:thaumiumwing, Thaumium Reinforced Wings
emt:nanowing, Nanosuit Wings
emt:quantumwing, Quantum Wings
emt:electrichoegrowth, Electric Hoe of Growth
emt:thorhammer, Mjolnir
emt:rockbreakerdrill, Drill of the Rockbreaker
emt:taintedthorhammer, Broken Relic of Mjolnir
emt:electricthorhammer, Supercharged Mjolnir
emt:materials_oreclusteruranium:0, Uranium Native Cluster
emt:materials_crushedoreamber:0, Crushed Amber Ore
emt:materials_purifiedoreamber:0, Purified Amber Ore
emt:materials_crushedorecinnabar:0, Crushed Cinnabar Ore
emt:materials_purifiedorecinnabar:0, Purified Cinnabar Ore
emt:materials_thaumiumplate:0, Thaumium Plate
emt:materials_feathermesh:0, Feather Mesh
emt:materials_glue:0, Glue
emt:materials_ducttape:0, Duct Tape
emt:materials_rubberball:0, Rubber Ball
emt:materials_cardboard:0, Cardboard Sheet
emt:materials_feathergluedcardboardwing:0, Feather Glued Cardboard Wing
emt:materials_taintedfeather:0, Tainted Feather
emt:materials_thaumiumwing:0, Thaumium Reinforced Wing
emt:materials_uumatterdrop:0, Crystallized UU-Matter Drop
emt:materials_lightningsummoner:0, Lightning Summoner
emt:electricbootstraveller, Electric Boots of the Traveller
emt:nanobootsraveller, Nanosuit Boots of the Traveller
emt:quantumbootsraveller, Quantum Boots of the Traveller
emt:electricgoggles, Electric Goggles of Revealing
emt:nanogoggles, Nanosuit Goggles of Revealing
emt:quantumgoggles, Quantum Goggles of Revealing
emt:solarhelmetrevealing, Solar Goggles of Revealing
emt:emtbaubles_armor:0, §2Armor Charging Ring
emt:emtbaubles_inventory:0, §2Inventory Charging Ring
emt:electricscribingtools, Electric Scribing Tools
emt:uantumarmor, Infused Quantum Armor
emt:uantumarmor_nano, Infused Quantum Armor With Nano Wings
emt:uantumarmor_quantum, Infused Quantum Armor With Quantum Wings
emt:uantumarmor_thaumium, Infused Quantum Armor With Thaumium Wings
emt:uantumarmor_jetpack, Infused Quantum Armor With Jetpack
emt:onering:0, §2The One Ring
enderstorage:ender_storage:0, Сундук Края
enderstorage:ender_storage:1, Цистерна Края
enderstorage:ender_pouch, Сумка Края
expandableinventory:iron_expander, &bЖелезный расширитель инвентаря
expandableinventory:golden_expander, &bЗолотой расширитель инвентаря
expandableinventory:diamond_expander, &bАлмазный расширитель инвентаря
expandableinventory:emerald_expander, &bИзумрудный расширитель инвентаря
expandableinventory:nether_expander, &dАдский расширитель инвентаря
expandableinventory:ender_expander, &bЭндер расширитель инвентаря
expandableinventory:dragon_expander, &dДраконий расширитель инвентаря
expandableinventory:reinforcement_upgrade, Улучшение коробки: Укрепление
expandableinventory:soulbound_upgrade, Улучшение коробки: Привязка к душе
expandableinventory:glowing_upgrade, Улучшение коробки: Свечение
expandableinventory:pickup_upgrade, Улучшение инвентаря: Портативная воронка
expandableinventory:drop_box, Коробка с вещами
expandableinventory:reinforced_drop_box, Укрепленная коробка с дропом
hammercore:iron_bordered_cobblestone, Булыжник с железной каймой
hammercore:gold_bordered_cobblestone, Булыжник с золотой каймой
hammercore:diamond_bordered_cobblestone, Булыжник с алмазной каймой
hammercore:emerald_bordered_cobblestone, Булыжник с изумрудной каймой
hammercore:quartz_bordered_cobblestone, Булыжник с кварцевой каймой
hammercore:manual, Инструкция по Hammer Core
improvableskills:skills_book, Книга навыков
improvableskills:scroll_normal, Страница с навыком
improvableskills:scroll_ability, Страница с способностью
improvableskills:scroll_creative, Творческая страница с навыками
improvableskills:parchment_fragment, Фрагмент пергамента
packagedauto:packager, Packager
packagedauto:encoder, Package Recipe Encoder
packagedauto:unpackager, Unpackager
packagedauto:packager_extension, Packager Extension
packagedauto:recipe_holder, Package Recipe Holder
packagedauto:package, Recipe Package
packagedauto:package_component, Packaging Component
packagedauto:me_package_component, ME Packaging Component
packagedexcrafting:advanced_crafter, Advanced Package Crafter
packagedexcrafting:elite_crafter, Elite Package Crafter
packagedexcrafting:ultimate_crafter, Ultimate Package Crafter
packagedexcrafting:ender_crafter, Ender Package Crafter
packagedexcrafting:combination_crafter, Combination Package Crafter
packagedexcrafting:marked_pedestal, Marked Pedestal
solarflux:solar_panel_1, Солнечная панель I
solarflux:solar_panel_2, Солнечная панель II
solarflux:solar_panel_3, Солнечная панель III
solarflux:solar_panel_4, Солнечная панель IV
solarflux:solar_panel_5, Солнечная панель V
solarflux:solar_panel_6, Солнечная панель VI
solarflux:solar_panel_7, Солнечная панель VII
solarflux:solar_panel_8, Солнечная панель VIII
solarflux:solar_panel_alchemical, Алхимическая солнечная панель
solarflux:solar_panel_alchemical_brass, Латунная солнечная панель
solarflux:solar_panel_thaumium, Солнечная панель из таумиума
solarflux:solar_panel_void_metal, Солнечная панель из пустотного металла
solarflux:mirror, Зеркало
solarflux:photovoltaic_cell_1, Фотоэлектрическая ячейка I
solarflux:photovoltaic_cell_2, Фотоэлектрическая ячейка II
solarflux:photovoltaic_cell_3, Фотоэлектрическая ячейка III
solarflux:photovoltaic_cell_4, Фотоэлектрическая ячейка IV
solarflux:photovoltaic_cell_5, Фотоэлектрическая ячейка V
solarflux:photovoltaic_cell_6, Фотоэлектрическая ячейка VI
solarflux:blank_upgrade, Шаблон улучшения
solarflux:efficiency_upgrade, Улучшение: Эффективность
solarflux:transfer_rate_upgrade, Улучшение: Скорость передачи
solarflux:capacity_upgrade, Улучшение: Ёмкость
solarflux:traversal_upgrade, Улучшение: Распределение по машинам
solarflux:dispersive_upgrade, Улучшение: Рассеивание
solarflux:block_charging_upgrade, Улучшение: Зарядка блока
solarflux:furnace_upgrade, Улучшение: Печь
thaumadditions:mithrillium_nugget, Мифриллиумовый самородок
thaumadditions:adaminite_nugget, Адаминитовый самородок
thaumadditions:mithminite_nugget, Мифминитовый самородок
thaumadditions:mithrillium_ingot, Мифриллиумовый слиток
thaumadditions:adaminite_ingot, Адаминитовый слиток
thaumadditions:mithminite_ingot, Мифминитовый слиток
thaumadditions:mithrillium_plate, Мифриллиумая пластина
thaumadditions:adaminite_plate, Адаминитовая пластина
thaumadditions:mithminite_plate, Мифминитовая пластина
thaumadditions:adaminite_fabric, Адаминитовая ткань
thaumadditions:mithminite_fabric, Мифминитовая ткань
thaumadditions:mithrillium_resonator, Мифриллиумный резонатор
thaumadditions:levitation_device, Устройство полёта
thaumadditions:seal_globe, Волшебный печатный шар
thaumadditions:odour_powder, Ароматная пудра
thaumadditions:phantom_ink_phial, Пузырёк с фантомными чернилами
thaumadditions:mithminite_blade, Мифминитовое лезвие
thaumadditions:mithminite_handle, Мифминитовая рукоять
thaumadditions:zeith_fur, Шерсть синего волка
thaumadditions:blue_bone, Синяя кость
thaumadditions:fragnant_pendant, Ароматный кулон
thaumadditions:recharge_charm, Шарм перезарядки
thaumadditions:traveller_belt, Пояс путешественника
thaumadditions:striding_belt, Пояс странника
thaumadditions:meteor_belt, Пояс метеора
thaumadditions:bone_eye, Костеглаз
thaumadditions:vis_scribing_tools, Вис-письменные принадлежности
thaumadditions:void_thaumometer, Пустотный таумометр
thaumadditions:wormhole_mirror, Зеркало червоточины
thaumadditions:void_elemental_pickaxe, Пустотная кирка раскалённого ядра
thaumadditions:void_elemental_shovel, Пустотная лопата землекопа
thaumadditions:void_elemental_axe, Пустотный топор ручья
thaumadditions:void_elemental_hoe, Пустотная мотыга роста
thaumadditions:shadow_beam_staff, Посох теневого пламени
thaumadditions:essentia_pistol, Essentia Pistol
thaumadditions:the_beheader, Головорубец
thaumadditions:adaminite_sword, Адаминитовый меч
thaumadditions:mithminite_scythe, Мифминитовая коса
thaumadditions:adaminite_hood, Адаминитовый капюшон
thaumadditions:adaminite_robe, Адаминитовая роба
thaumadditions:adaminite_belt, Адаминитовый пояс
thaumadditions:adaminite_boots, Адаминитовые ботинки
thaumadditions:mithminite_hood, Мифминитовый капюшон
thaumadditions:mithminite_robe, Мифминитовая роба
thaumadditions:mithminite_belt, Мифминитовый пояс
thaumadditions:mithminite_boots, Мифминитовые ботинки
thaumadditions:dna_sample, Ячейка существа
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:salt_essence:0, Соль вис
thaumadditions:seal_symbol, Печатный символ: @ASPECT
thaumadditions:vis_pod, Стручок вис: %s
thaumadditions:vis_seeds, Семена вис: %s
thaumadditions:void_seed, Семя пустоты
thaumadditions:chester, Честер
thaumadditions:knowledge_tome, Том обмена знаниями
thaumadditions:disenchant_fabric, Ткань снятия зачарований
thaumadditions:crystal_bag, Мешочек для кристаллов
thaumadditions:void_fruit, Фрукт пустоты
thaumadditions:mithrillium_smelter, Плавильня из мифриллиума
thaumadditions:adaminite_smelter, Плавильня из адаминита
thaumadditions:mithminite_smelter, Плавильня из мифминита
thaumadditions:aura_disperser, Рассеиватель ауры
thaumadditions:aspect_combiner, Смешиватель эсенции
thaumadditions:aura_charger, Зарядник ауры
thaumadditions:crystal_crusher, Дробитель кристаллов
thaumadditions:crystal_bore, Кристальный бур
thaumadditions:entity_summoner, Призыватель существ
thaumadditions:puriflower, Чистоцвет
thaumadditions:flux_concentrator, Концентратор выбросов
thaumadditions:cake, Волшебный торт
thaumadditions:dawn_totem, Тотем рассвета
thaumadditions:twilight_totem, Тотем сумерок
thaumadditions:growth_chamber, Камера роста кристалов
thaumadditions:seal, Волшебная печать
thaumadditions:shadow_enchanter, Теневой стол зачарования
thaumadditions:thaumic_lectern, Кафедра с таумономиконом
thaumadditions:void_anvil, Пустотная наковальня
thaumadditions:essentia_sink, Раковина эссенции
thaumadditions:jar_brass, Латунная банка
thaumadditions:jar_thaumium, Таум-усиленная банка
thaumadditions:jar_eldritch, Пустотная укреплённая банка
thaumadditions:jar_mithrillium, Мифриллиумая усиленная банка
thaumadditions:jar_adaminite, Адаминитовая укреплённая банка
thaumadditions:jar_mithminite, Мифминитовая банка
thaumadditions:crystal_block, Кристальный блок из @ASPECT
thaumadditions:taintkin, Порче-тыква
thaumadditions:taintkin_lit, Taint o' Lantern
thaumadditions:mithrillium_block, Блок мифриллиума
thaumadditions:adaminite_block, Блок адаминита
thaumadditions:mithminite_block, Блок мифминита
thaumadditions:taintwood_planks, Доски из заражённой древесины
thaumadditions:chiseled_amber_block, Резной янтарный блок
thaumadditions:iron_framed_greatwood, Обрамленное железом великое дерево
thaumadditions:brass_plated_silverwood, Обитое латунью серебрянное дерево
thaumadditions:chiseled_greatwood, Выточенное великое дерево
thaumadditions:amber_lamp, Янтарный фонарь
torcherino:blocktorcherino, Torcherino
torcherino:blockcompressedtorcherino, Compressed Torcherino
torcherino:blockdoublecompressedtorcherino, Double Compressed Torcherino
torcherino:blocklanterino, Jack o'Lanterino
torcherino:blockcompressedlanterino, Compressed Jack o'Lanterino
torcherino:blockdoublecompressedlanterino, Double Compressed Jack o'Lanterino
thaumcraft:ore_amber, Янтароносный камень
thaumcraft:ore_cinnabar, Киноварь
thaumcraft:ore_quartz, Кварцевая руда
thaumcraft:crystal_aer, Кристалл воздуха
thaumcraft:crystal_ignis, Кристалл огня
thaumcraft:crystal_aqua, Кристалл воды
thaumcraft:crystal_terra, Кристалл земли
thaumcraft:crystal_ordo, Кристалл порядка
thaumcraft:crystal_perditio, Кристалл энтропии
thaumcraft:crystal_vitium, Кристалл Выбросов
thaumcraft:stone_arcane, Мистический камень
thaumcraft:stone_arcane_brick, Кирпичи из мистического камня
thaumcraft:stone_ancient, Древний камень
thaumcraft:stone_ancient_tile, Плита из древнего камня
thaumcraft:stone_ancient_rock, Древний булыжник
thaumcraft:stone_ancient_glyphed, Расписанный камень
thaumcraft:stone_ancient_doorway, Древний Барьер
thaumcraft:stone_eldritch_tile, Потусторонний камень
thaumcraft:stone_porous, Пористый камень
thaumcraft:stairs_arcane, Ступеньки из мистического камня
thaumcraft:stairs_arcane_brick, Ступеньки из кирпичей мистического камня
thaumcraft:stairs_ancient, Ступеньки из древнего камня
thaumcraft:slab_arcane_stone:0, Плита из мистического камня
thaumcraft:slab_arcane_brick:0, Плита из кирпичей мистического камня
thaumcraft:slab_ancient:0, Плита из древнего камня
thaumcraft:slab_eldritch:0, Плита из потустороннего камня
thaumcraft:sapling_greatwood, Саженец великого дерева
thaumcraft:sapling_silverwood, Саженец серебряного дерева
thaumcraft:log_greatwood, Бревно великого дерева
thaumcraft:log_silverwood, Бревно серебряного дерева
thaumcraft:leaves_greatwood, Листья великого дерева
thaumcraft:leaves_silverwood, Листья серебряного дерева
thaumcraft:shimmerleaf, Мерцающий лист
thaumcraft:cinderpearl, Тлеющая жемчужина
thaumcraft:vishroom, Висомор
thaumcraft:plank_greatwood, Доски из великого дерева
thaumcraft:plank_silverwood, Доски из серебряного дерева
thaumcraft:stairs_greatwood, Ступеньки из великого дерева
thaumcraft:stairs_silverwood, Ступеньки из серебряного дерева
thaumcraft:slab_greatwood:0, Плита из великого дерева
thaumcraft:slab_silverwood:0, Плита из серебряного дерева
thaumcraft:amber_block, Янтарный блок
thaumcraft:amber_brick, Янтарные кирпичи
thaumcraft:flesh_block, Блок плоти
thaumcraft:loot_crate_common, Обычный ящик
thaumcraft:loot_crate_uncommon, Необычный ящик
thaumcraft:loot_crate_rare, Редкий ящик
thaumcraft:loot_urn_common, Обычная урна
thaumcraft:loot_urn_uncommon, Необычная урна
thaumcraft:loot_urn_rare, Редкая урна
thaumcraft:taint_fibre, Волокнистое заражение
thaumcraft:taint_crust, Поверхностное заражение
thaumcraft:taint_soil, Заражённая почва
thaumcraft:taint_rock, Заражённый камень
thaumcraft:taint_geyser, Заражённый гейзер
thaumcraft:taint_feature, Разбухшее заражение
thaumcraft:taint_log, Бревно Зараженного дерева
thaumcraft:grass_ambient, Дёрн окружения
thaumcraft:table_wood, Деревянный стол
thaumcraft:table_stone, Каменный стол
thaumcraft:pedestal_arcane, Мистический пьедестал
thaumcraft:pedestal_ancient, Древний пьедестал
thaumcraft:pedestal_eldritch, Потусторонний пьедестал
thaumcraft:metal_brass, Латунный блок
thaumcraft:metal_thaumium, Блок таумиума
thaumcraft:metal_void, Блок пустотного металла
thaumcraft:metal_alchemical, Алхимическая конструкция
thaumcraft:metal_alchemical_advanced, Продвинутая алхимическая конструкция
thaumcraft:paving_stone_travel, Брусчатка путешественника
thaumcraft:paving_stone_barrier, Камень-барьер
thaumcraft:pillar_arcane, Наполняющая колонна
thaumcraft:pillar_ancient, Древняя наполняющая колонна
thaumcraft:pillar_eldritch, Потусторонняя наполняющая колонна
thaumcraft:matrix_speed, Наполняющий камень скорости
thaumcraft:matrix_cost, Наполняющий камень затрат
thaumcraft:candle_white, Белая сальная свеча
thaumcraft:candle_orange, Оранжевая сальная свеча
thaumcraft:candle_magenta, Пурпурная сальная свеча
thaumcraft:candle_lightblue, Голубая сальная свеча
thaumcraft:candle_yellow, Жёлтая сальная свеча
thaumcraft:candle_lime, Лаймовая сальная свеча
thaumcraft:candle_pink, Розовая сальная свеча
thaumcraft:candle_gray, Серая сальная свеча
thaumcraft:candle_silver, Светло-серая сальная свеча
